Legal Form (LFO),Variable name (on form),Variable description,Tax Form,Tax Form (link),Page Number (form),Page number (full document),Where on page,Associated NES Variable(s),Associated NES Variable (text),Condition,Note,Location shown in ppt?,New
Sole Proprietorships,Percentage _____%,percentage of business activity in this NAICS,Form 482.0 (Schedule L Individual),individuals_2022_informative_0.pdf (pr.gov),1,42,Part I,,industry classification,,requested during 11/15 meeting,,x
Sole Proprietorships,Percentage _____%,percentage of business activity in this NAICS,Form 482.0 (Schedule M Individual),individuals_2022_informative_0.pdf (pr.gov),1,44,Part I,,industry classification,,requested during 11/15 meeting,,x
Sole Proprietorships,Percentage _____%,percentage of business activity in this NAICS,Form 482.0 (Schedule N Individual),individuals_2022_informative_0.pdf (pr.gov),1,46,Part I,,industry classification,,requested during 11/15 meeting,,x
Sole Proprietorships,Social Security Number,SSN,Form 482.0 (Schedule J Individual),individuals_2022_informative_0.pdf (pr.gov),1,38,"Very top of page, above Part I",,# of estabs,,,yes,x
Sole Proprietorships,Social Security Number,SSN,Form 482.0 (Schedule K Individual),individuals_2022_informative_0.pdf (pr.gov),1,40,"Very top of page, above Part I",,# of estabs,,,yes,x
Sole Proprietorships,Social Security Number,SSN,Form 482.0 (Schedule L Individual),individuals_2022_informative_0.pdf (pr.gov),1,42,"Very top of page, above Part I",,# of estabs,,,yes,x
Sole Proprietorships,Social Security Number,SSN,Form 482.0 (Schedule M Individual),individuals_2022_informative_0.pdf (pr.gov),1,44,"Very top of page, above Part I",,# of estabs,,,yes,x
Sole Proprietorships,Social Security Number,SSN,Form 482.0 (Schedule N Individual),individuals_2022_informative_0.pdf (pr.gov),1,46,"Very top of page, above Part I",,# of estabs,,,yes,x
Sole Proprietorships,Subtotal (Subtract line 2  from line 1),Income less subcontracted services,Form 482.0 (Schedule M Individual),https://hacienda.pr.gov/sites/default/files/individuals_2022_informative_0.pdf,1,44,"Part II, Line 3",,total receipts,,,yes,x
Sole Proprietorships,Taxpayer's Name,name of taxpayer,Form 482.0 (Schedule J Individual),individuals_2022_informative_0.pdf (pr.gov),1,38,top,,,,requested during 11/15 meeting,,x
Sole Proprietorships,Taxpayer's Name,name of taxpayer,Form 482.0 (Schedule K Individual),individuals_2022_informative_0.pdf (pr.gov),1,40,top,,,,requested during 11/15 meeting,,x
Sole Proprietorships,Taxpayer's Name,name of taxpayer,Form 482.0 (Schedule L Individual),individuals_2022_informative_0.pdf (pr.gov),1,42,top,,,,requested during 11/15 meeting,,x
Sole Proprietorships,Taxpayer's Name,name of taxpayer,Form 482.0 (Schedule M Individual),individuals_2022_informative_0.pdf (pr.gov),1,44,top,,,,requested during 11/15 meeting,,x
Sole Proprietorships,Taxpayer's Name,name of taxpayer,Form 482.0 (Schedule N Individual),individuals_2022_informative_0.pdf (pr.gov),1,46,top,,,,requested during 11/15 meeting,,x
C-corp,Date Incorporated Day__ Month__ Year__,date business was incorporated,Form 480.20,https://hacienda.pr.gov/sites/default/files/corporations_2021_informative.pdf,1,1,upper,,,,requested during 11/15 meeting,,x
Partnerships & S-Corps,Date created or incorporated Day___ Month__ Year__,start date of operations,Form 480.20(EC),https://hacienda.pr.gov/sites/default/files/documentos/480.20ec.pdf,1,1,upper,,,,requested during 11/15 meeting,,x
C-Corp,Taxpayer's Name,name of taxpayer (business?),Form 480.20,https://hacienda.pr.gov/sites/default/files/corporations_2021_informative.pdf,1,1,top left,,,,requested by Zach Kroff,,x
Partnerships & S-Corps,Entity's Name,business name,Form 480.20(EC),480.20(EC) Rev.04.16 (pr.gov),1,1,top left,,,,requested by Zach Kroff,,x
